Date,Not indexed,Indexed,Impressions
2025-11-27,,,13418
2025-11-28,,,9881
2025-11-29,,,10751
2025-11-30,,,33789
2025-12-01,,,31078
2025-12-02,,,29307
2025-12-03,,,29733
2025-12-04,,,25084
2025-12-05,,,11622
2025-12-06,,,11288
2025-12-07,,,32861
2025-12-08,,,30430
2025-12-09,,,28499
2025-12-10,,,28365
2025-12-11,,,23836
2025-12-12,,,12078
2025-12-13,,,13566
2025-12-14,38721,4534,37467
2025-12-15,50721,11355,34561
2025-12-16,50721,11355,31364
2025-12-17,50721,11355,32790
2025-12-18,50721,11355,26038
2025-12-19,50721,11355,20798
2025-12-20,50721,11355,22500
2025-12-21,50721,11355,53371
2025-12-22,50721,11355,45776
2025-12-23,63066,10269,27662
2025-12-24,63066,10269,19040
2025-12-25,63066,10269,30846
2025-12-26,63066,10269,19418
2025-12-27,63066,10269,22294
2025-12-28,63066,10269,62719
2025-12-29,63066,10269,55643
2025-12-30,63066,10269,43547
2025-12-31,63066,10269,27768
2026-01-01,63066,10269,44412
2026-01-02,63066,10269,21259
2026-01-03,65505,10158,23111
2026-01-04,65505,10158,66227
2026-01-05,65505,10158,57068
2026-01-06,66309,9564,58067
2026-01-07,66309,9564,57582
2026-01-08,66309,9564,49408
2026-01-09,66309,9564,20779
2026-01-10,62854,9174,19800
2026-01-11,62854,9174,50381
2026-01-12,62854,9174,44172
2026-01-13,62726,9113,45484
2026-01-14,62726,9113,47627
2026-01-15,62726,9113,45186
2026-01-16,62726,9113,17886
2026-01-17,62708,8988,20409
2026-01-18,62708,8988,47791
2026-01-19,62708,8988,60809
2026-01-20,62370,10960,49607
2026-01-21,62370,10960,45143
2026-01-22,62370,10960,40048
2026-01-23,62370,10960,24500
2026-01-24,62177,10797,28352
2026-01-25,62177,10797,65332
2026-01-26,62177,10797,70532
2026-01-27,62271,10699,59717
2026-01-28,62271,10699,56825
2026-01-29,62271,10699,50242
2026-01-30,62271,10699,22995
2026-01-31,62209,11408,26970
2026-02-01,62209,11408,74431
2026-02-02,62209,11408,75685
2026-02-03,62378,12112,79281
2026-02-04,62378,12112,77567
2026-02-05,62378,12112,66986
2026-02-06,62378,12112,34320
2026-02-07,65828,12916,34821
2026-02-08,65828,12916,81170
2026-02-09,65828,12916,79802
2026-02-10,67047,12426,80343
2026-02-11,67047,12426,76851
2026-02-12,67047,12426,69570
2026-02-13,67047,12426,27591
2026-02-14,68577,12658,28065
2026-02-15,68577,12658,72942
2026-02-16,68577,12658,76050
2026-02-17,73152,12428,75437
2026-02-18,73152,12428,73500
2026-02-19,73152,12428,64806
2026-02-20,73152,12428,38176
2026-02-21,74407,12122,29629
2026-02-22,74407,12122,78297
2026-02-23,74407,12122,