Top queries,Clicks,Impressions,CTR,Position
carolina spine and sport rehabilitation specialists,7,287,2.44%,7.1
dr khan laporte indiana,7,277,2.53%,9.55
lebanon pain and spine,7,265,2.64%,6.58
alan spanos md,7,258,2.71%,7.92
dr bhatti richmond va,7,255,2.75%,8.02
barclay laurel ms,7,249,2.81%,6.33
osf pain center,7,235,2.98%,7.01
sage pain management,7,231,3.03%,3.97
pain cure clinic,7,231,3.03%,6.32
vitality pain clinic,7,228,3.07%,9.86
kansas pain specialists,7,222,3.15%,13.38
pain centers near me,7,219,3.20%,9.26
pain physicians of wisconsin layton ave,7,215,3.26%,7.58
trinity pain medicine associates,7,213,3.29%,7.23
michael grille,7,199,3.52%,12.13
advanced pain management anderson,7,195,3.59%,7.45
lowell shih,7,193,3.63%,5.88
friedman joel md,7,181,3.87%,6.37
pain management greensboro nc,7,178,3.93%,42.56
knox pain management,7,177,3.95%,9.68
restored horizons,7,166,4.22%,9.2
spine & pain associates photos,7,154,4.55%,4.16
jawad bhatti md richmond va,7,149,4.70%,8.3
advanced pain management milwaukee,7,147,4.76%,12.1
active pain management,7,142,4.93%,20.99
carolina spine and pain centers sumter,7,138,5.07%,4.43
advanced pain specialists,7,136,5.15%,13.28
urgent care of lafayette,7,128,5.47%,9.83
pro care specialty clinic,7,125,5.60%,4.89
dr. joseph alvarez photos,7,123,5.69%,4.86
pain management fairbanks,7,120,5.83%,15.22
dr. kemp,7,113,6.19%,4.12
beaumont center for pain medicine,7,105,6.67%,5.97
doc pain management - troy,7,100,7%,4.88
oregon interventional pain consultants,7,90,7.78%,8.66
"comprehensive pain specialists saginaw, mi",7,90,7.78%,9.16
pain clinic cullman,7,88,7.95%,7.34
dr. pasupuleti,7,85,8.24%,4.69
nexus health orthopedics,7,84,8.33%,5.14
dr gretchen wienecke,7,83,8.43%,5.41
mark thimineur,7,80,8.75%,9.82
dr oc james lexington ky,7,78,8.97%,3.95
dr. james hunt,7,74,9.46%,10.51
pain management okc,7,64,10.94%,36.14
optimal pain and wellness bentonville ar,7,60,11.67%,1.1
pain management in clarksville tennessee,7,57,12.28%,15.04
umar cheema md,7,56,12.50%,5.04
carolina spine and pain mooresville,7,40,17.50%,2.83
national spine and pain center,6,5321,0.11%,15.58
integrated pain management,6,4096,0.15%,18.73
summit pain management,6,3570,0.17%,9.74
pain care center,6,2860,0.21%,25.15
national spine and pain centers,6,2852,0.21%,8.24
patrick oley md,6,2154,0.28%,10.32
alliance pain management,6,2102,0.29%,10.24
pain and spine institute,6,1837,0.33%,20.36
spa city pain management,6,1770,0.34%,8.59
pause pain and wellness,6,1706,0.35%,9.51
st mary's physiatry,6,1598,0.38%,6.58
spine and pain clinic,6,1534,0.39%,30.36
clearway pain solutions white marsh,6,1465,0.41%,9.43
center for pain dothan al,6,1442,0.42%,6.46
granger pain and spine,6,1436,0.42%,7.74
insight pain management,6,1323,0.45%,9.54
interventional pain specialists,6,1281,0.47%,21.39
pain clinics of central california stockton,6,1127,0.53%,6.77
ohsu pain clinic,6,1088,0.55%,6.58
phenix city pain management,6,1067,0.56%,6.02
cottonwood pain clinic,6,906,0.66%,39.09
center for pain management sartell,6,901,0.67%,11.86
elite pain management,6,874,0.69%,12.93
all about pain and spine,6,820,0.73%,6.35
eastern shore pain management,6,796,0.75%,8.4
integrated pain and neuroscience,6,741,0.81%,6.75
atlas pain and spine corbin kentucky,6,656,0.91%,5.96
advance pain management,6,647,0.93%,9.41
pain management forest city nc,6,571,1.05%,7.41
portland pain solutions,6,544,1.10%,4.77
arkansas spine and pain conway,6,542,1.11%,7.73
kaseman pain and spine,6,539,1.11%,4.72
dr prevo okc,6,517,1.16%,7.15
taconic spine,6,504,1.19%,8.6
columbia pain management berwick pa,6,448,1.34%,8.03
centra medical group physical medicine & pain management center,6,445,1.35%,6.25
pain clinic kingsport tn,6,434,1.38%,8.63
pain and spine center,6,434,1.38%,9.83
pain clinic cookeville tn,6,424,1.42%,7.77
dr kloster,6,418,1.44%,10.02
sean graham md,6,403,1.49%,5.6
brain and pain shreveport la,6,403,1.49%,5.93
spine specialist near me,6,389,1.54%,13.61
center for pain dothan alabama,6,386,1.55%,7.12
pain management group clarksville,6,384,1.56%,4.15
mcleod pain management,6,375,1.60%,8.1
pain management covington va,6,370,1.62%,9.35
pivotal point pain solutions,6,366,1.64%,6.93
fenix health,6,360,1.67%,18.35
dr patel pain management,6,358,1.68%,9.27
michigan interventional pain center dearborn heights,6,356,1.69%,4.66
advanced pain and spine missoula,6,356,1.69%,7.87
arkansas spine and pain white hall,6,331,1.81%,4.78
access pain solutions muskogee reviews,6,327,1.83%,5.87
cascade interventional pain center,6,324,1.85%,6.07
american pain institute,6,324,1.85%,8.94
my pain doc columbus nebraska,6,320,1.88%,3.81
dr hsu pain management,6,318,1.89%,11.94
pain management valleydale road,6,313,1.92%,9.14
oklahoma pain management shawnee,6,309,1.94%,7.81
vitruvian pain clinic,6,308,1.95%,4.53
dr ryan almeida,6,304,1.97%,9.52
pain management corinth ms,6,282,2.13%,11.85
greenville pain & spine,6,277,2.17%,7.43
puget sound pain clinic - puyallup (a sound pain alliance member),6,273,2.20%,5.25
methodist pain clinic,6,272,2.21%,7.4
chi pain clinic,6,268,2.24%,8.48
pain management columbia mo,6,252,2.38%,26.29
dr schaffer pain management,6,249,2.41%,8.16
pain management swansea ma,6,249,2.41%,8.24
complete pain care mlk,6,242,2.48%,3.19
pain management martinsburg wv,6,240,2.50%,14.2
pain management that prescribe narcotics near me,6,238,2.52%,22.87
pain management lynchburg va,6,236,2.54%,21.58
ssm pain management madison wi,6,229,2.62%,5.2
clarksville pain clinic,6,226,2.65%,19.77
commonwealth pain management and wellness reviews,6,217,2.76%,9.25
dr ritu varma,6,216,2.78%,9.31
newton and associates spine and pain,6,210,2.86%,4.4
dr joel friedman maui,6,207,2.90%,6.23
interventional pain specialists crestview hills,6,206,2.91%,9.5
kaloko pain,6,205,2.93%,3.92
jeremy romero,6,205,2.93%,6.49
ballard pain and wellness,6,202,2.97%,10.7
mid america pain clinic reviews,6,201,2.99%,6.37
vivek barclay md,6,190,3.16%,7.19
three rivers spine and pain medicine,6,183,3.28%,7.79
dr quint,6,180,3.33%,7.56
louisiana pain physicians,6,178,3.37%,9.8
central valley pain management bakersfield,6,176,3.41%,8.3
california back and pain specialists bakersfield ca,6,173,3.47%,3.59
center for complex pain care photos,6,172,3.49%,6.44
ubylee,6,172,3.49%,11.45
zeeshan tayeb md,6,172,3.49%,12.3
dr uday uthaman,6,169,3.55%,5.53
pain management augusta ga,6,166,3.61%,27.13
dr de lara,6,162,3.70%,4.81
dr allison gorski,6,156,3.85%,9.79
dr. moyse,6,150,4%,8.65
paul kramm,6,145,4.14%,8.24
hcmc pain clinic,6,138,4.35%,7.72
dr pettingell tulsa,6,137,4.38%,6.61
best pain management doctors near me,6,135,4.44%,12.44
bhatti jawad w md,6,134,4.48%,6.79
hans bone,6,131,4.58%,8.4
trigger point injections near me,6,119,5.04%,16.08
2507 mineral springs ave,6,118,5.08%,5.61
spine and pain associates kingsport tn,6,115,5.22%,3.19
dr mangieri,6,113,5.31%,5.58
dr gaines pain management,6,112,5.36%,4.96
rutvij shah,6,110,5.45%,6.78
dr downey pain management,6,106,5.66%,5.31
integrative pain and psych care,6,103,5.83%,4.15
pain management st marys ohio,6,103,5.83%,5.47
pain management oahu,6,102,5.88%,25.91
sakshi kaul,6,99,6.06%,7.63
pain clinic cullman al,6,98,6.12%,8.72
dr cary,6,98,6.12%,9.07
dr. jeffrey berg,6,97,6.19%,4.84
dr ghazi,6,93,6.45%,6.69
pain clinic richmond ky,6,90,6.67%,13.38
dr kemp pain management,6,88,6.82%,4.78
dr michael grille,6,78,7.69%,9.09
pain management norfolk va,6,74,8.11%,14.47
pain management hilo,6,73,8.22%,13.84
pain management west chester ohio,6,70,8.57%,20.21
lydia ferrell md,6,68,8.82%,6.9
integrated pain treatment center,6,65,9.23%,7.45
dr carey pain management,6,62,9.68%,4.76
total pain treatment center middletown ct,6,61,9.84%,5.16
compass pain care,6,56,10.71%,7.09
albuquerque pain management and spine care,6,53,11.32%,9.6
spine and pain bristol,6,52,11.54%,1.73
presbyterian pain and spine santa fe,6,42,14.29%,7.02
pain center wallingford ct,6,41,14.63%,3.83
physicians pain and spine,6,40,15%,11.78
suwanee pain management center inc photos,6,38,15.79%,3.03
pain clinic in cullman alabama,6,27,22.22%,6.52
pain management that prescribe narcotics,6,27,22.22%,8.3
"pain clinics in knoxville, tn that take insurance",6,19,31.58%,14.58
jason genco pa,6,15,40%,7.73
national spine and pain,5,3629,0.14%,15.07
aurora pain management,5,3380,0.15%,17.89
consultants in pain management,5,3123,0.16%,9.69
the pain management group: clarksville,5,1977,0.25%,5.38
interventional pain consultants,5,1909,0.26%,10.59
pain consultants of west florida,5,1680,0.30%,8.32
pain treatment centers of america,5,1649,0.30%,15.33
puget sound pain clinic puyallup,5,1472,0.34%,6.91
pain management clinics,5,1354,0.37%,27.85
hawaii institute for pain,5,1112,0.45%,7.48
montgomery pain institute,5,1108,0.45%,7.33
atlas pain and spine richmond ky,5,1036,0.48%,7.51
advanced pain and spine,5,1021,0.49%,7.92
family first pain management,5,992,0.50%,9.08
dr glen david,5,980,0.51%,7.78
dominion spine and pain springfield va,5,946,0.53%,4.4
pain management institute bethesda,5,868,0.58%,6.81
sanford pain clinic,5,868,0.58%,10.25
pain treatment center bismarck,5,810,0.62%,6.39
dominion pain and spine,5,799,0.63%,5.75
meridian medical,5,798,0.63%,7.35
texas wellness and pain center,5,778,0.64%,10.53
access pain solutions reviews,5,760,0.66%,10.38
pinnacle pain scottsdale,5,756,0.66%,8.59
oncall pain,5,721,0.69%,9
open arms pain clinic reviews,5,718,0.70%,9.13
utah pain relief institute,5,666,0.75%,14.45
dr brad wilson,5,662,0.76%,36.32
dr james hunt,5,658,0.76%,15.99
arkansas spine and pain jacksonville,5,652,0.77%,8.42
dr townsend smith,5,622,0.80%,7.77
red rock pain management,5,615,0.81%,7.07
atrium pain management monroe nc,5,590,0.85%,8.35
texas pain physicians,5,588,0.85%,13.17
national pain and spine winchester va,5,584,0.86%,9.33
pain management group cookeville tn,5,560,0.89%,5.52
carson city pain clinic,5,548,0.91%,6.67
dr joiner,5,542,0.92%,15.52
pain care,5,539,0.93%,14.3
dr kyle oh,5,525,0.95%,10.71
western pain management,5,523,0.96%,9.72
nadar pain care,5,518,0.97%,5.54
dr powell pain management,5,503,0.99%,10.97
aurora pain management milwaukee,5,502,1%,7.68
spine and pain,5,492,1.02%,8.74
firsthealth interventional pain medicine - pinehurst,5,487,1.03%,8.26
aurora pain management doctors,5,484,1.03%,9.81
virginia interventional pain & spine center,5,481,1.04%,7.26
new jersey institute for pain relief,5,472,1.06%,6.61
pain management beckley wv,5,457,1.09%,12.03
dr lou pain management,5,450,1.11%,5.73
chronic pain management,5,443,1.13%,6.83
pain management lodi,5,436,1.15%,20.02
dr bux lexington ky,5,434,1.15%,17.73
dr yee beckley wv,5,433,1.15%,6
dr moyse,5,429,1.17%,10.15
dr gandhi pain management,5,427,1.17%,10.93
my pain doc,5,426,1.17%,5.11
dr fan hutchinson ks,5,415,1.20%,6.09
midwest pain clinic sioux falls,5,412,1.21%,8.48
pain clinic laurel ms,5,411,1.22%,9.48
mercy pain management clinic,5,398,1.26%,10.75
pain clinic bismarck nd,5,380,1.32%,11.41
physicians pain services,5,363,1.38%,6.03
national spine and pain tysons,5,361,1.39%,7.92
pain management brookhaven ms,5,357,1.40%,8.62
pain clinic opelika al,5,356,1.40%,10.44
dr joiner roanoke va,5,353,1.42%,11.59
pain management consultants of southwest florida pl,5,342,1.46%,6.31
dr patel edgerton wi,5,337,1.48%,6.34
interventional pain management - mountain home,5,333,1.50%,7.59
pain center billings mt,5,319,1.57%,6.57
dr oliver pain management,5,309,1.62%,10.45
pain management queensbury ny,5,307,1.63%,8.57
pain management wheeling wv,5,307,1.63%,8.69
comprehensive pain management of oklahoma,5,306,1.63%,8.14
dr usmani,5,301,1.66%,12.14
interventional pain medicine at peacehealth salmon creek clinic,5,284,1.76%,6.46
multicare pain management puyallup,5,278,1.80%,9.48
osf pain clinic bloomington il,5,273,1.83%,5.53
pain management lexington ky,5,272,1.84%,42.7
brian meek,5,255,1.96%,7.62
advanced pain medicine morgantown wv,5,251,1.99%,4.67
dr delara pain management,5,250,2%,4.63
pain management louisville ky,5,248,2.02%,45.23
pain management sumter sc,5,246,2.03%,9.72
tiffini lake,5,240,2.08%,5.36
interventional pain consultants knoxville tn,5,239,2.09%,6.48
sanford pain clinic bismarck nd,5,235,2.13%,6.67
pain management indianapolis,5,235,2.13%,50.66
pain medicine doctors near me,5,233,2.15%,37.06
pain management milwaukee,5,225,2.22%,32.18
carolina spine and pain lexington sc,5,223,2.24%,6.39
"connecticut regional pain specialists, llc",5,221,2.26%,6.49
lakeview spine yakima,5,217,2.30%,6.74
oncall pain reviews,5,214,2.34%,11.6
uday uthaman,5,211,2.37%,5.28
lakewood pain clinic,5,211,2.37%,8.46
dr shields jonesboro ar,5,200,2.50%,8.85
pmc center for pain management,5,196,2.55%,3.92
southlake pain management,5,184,2.72%,23.54
access pain solutions | muskogee pain management,5,183,2.73%,5.66
kyle silva do,5,179,2.79%,7.51
procare poteau oklahoma,5,176,2.84%,4.45
dr joel friedman,5,175,2.86%,8.59
pain management fort smith ar,5,175,2.86%,14.89
dimensions pain management longmont,5,172,2.91%,8.12
flex pain management shreveport,5,171,2.92%,3.88
dr scott kim,5,171,2.92%,25.51
advanced pain and spine institute,5,170,2.94%,7.67
pain alternatives,5,169,2.96%,7.73
dr romankowski,5,161,3.11%,6.33
water's edge yakima,5,157,3.18%,5.69
pain management dothan al,5,152,3.29%,16.87
908-474-9444,5,151,3.31%,5.38
dr avni gupta,5,150,3.33%,9.48
ihs pain center - the square at latrobe,5,149,3.36%,3.83
advance pain management of florida,5,149,3.36%,6.8
johnson memorial pain clinic,5,148,3.38%,9.3
pain management birmingham al,5,148,3.38%,49.41
pain management fort myers,5,145,3.45%,21.61
north idaho pain center,5,138,3.62%,7.03
dr cagampan,5,137,3.65%,7.01
"adam kemp, m.d.",5,136,3.68%,5.54
dr james henick,5,136,3.68%,6.93
4916 medical blvd jonesboro ar,5,135,3.70%,5.26
vitality pain management,5,127,3.94%,8.17
pain management johnson city tn,5,127,3.94%,13.67
access pain solutions muskogee oklahoma,5,126,3.97%,5.71
pain clinic huntington wv,5,122,4.10%,8.23
dr shih,5,120,4.17%,5.53
honolulu pain management aiea,5,120,4.17%,7.33
cullman pain and wellness reviews,5,116,4.31%,5.01
carolina center for advanced pain management,5,107,4.67%,10.13
pain clinics clarksville tn,5,106,4.72%,10.12
cambridge pain management,5,105,4.76%,9.16
nri pain management,5,100,5%,5.75
"pain management 360 charleston, wv",5,98,5.10%,6.81
dr wu pain management,5,98,5.10%,11.18
pca pain clinic,5,96,5.21%,7.73
dr kenneth finn,5,95,5.26%,10.57
dr ford colorado springs,5,94,5.32%,9.31
brookhaven anesthesia and pain management,5,91,5.49%,5.95
pain management montgomery al,5,89,5.62%,26.21
nexus orthopedics santa fe,5,88,5.68%,4.12
forrest allen,5,88,5.68%,10.33
jason hernandez md,5,86,5.81%,7.42
dr dominguez,5,85,5.88%,5.32
cullman pain & wellness photos,5,84,5.95%,5.94
pain management stockton,5,80,6.25%,11.76
dr paz pain management,5,79,6.33%,10.86
pain management huntington wv,5,77,6.49%,16.45
merced pain management,5,75,6.67%,8.35
pain relief center of cape cod,5,74,6.76%,8.08
pain management cape cod,5,71,7.04%,13.23
dr edward doherty,5,68,7.35%,6.76
sena kihtir,5,67,7.46%,6.73
jeremy smitherman md,5,63,7.94%,10.3
center for regenerative orthopedic medicine,5,60,8.33%,39.5
pain mgt near me,5,58,8.62%,10.21
rush pain treatment center,5,57,8.77%,6.63
dr brown pain management,5,57,8.77%,7.75
justin anderson md,5,56,8.93%,6.38
vishwajit brahmbhatt,5,56,8.93%,7.16
pain clinic sioux city,5,53,9.43%,14.17
daniel bennett md,5,51,9.80%,17.37
"traditional chinese medicine and accupuncture services dr wu yi qiao new 
york reviews",5,50,10%,3.38
powen hsu,5,50,10%,9.46
dr thurman,5,45,11.11%,8.91
michael grille md,5,42,11.90%,6.86
troy jenkins gillette wy,5,41,12.20%,4.41
pain management panama city,5,41,12.20%,8.24
robert long md,5,38,13.16%,8.24
dr daniel bennett,5,37,13.51%,12.46
"best pain clinic in nashville, tn",5,34,14.71%,3.62
cash only pain clinics in tennessee,5,33,15.15%,30.03
dr cho pain management,5,32,15.62%,16.97
arpan patel md,5,31,16.13%,18.55
john lutz md,5,30,16.67%,3.97
osh pain management,5,28,17.86%,4.5
john nelson md,5,28,17.86%,14.75
modesto pain medicine inc,5,27,18.52%,3.85
adrienne mejia md,5,18,27.78%,7.44
pain management doctors in wv,5,15,33.33%,9.33
the center for symptom relief,5,14,35.71%,1.5
dr cho,5,11,45.45%,2.82
dr ken homolya,5,11,45.45%,5.36
jason genco,5,6,83.33%,4.33
pain tracker pdf,5,5,100%,9.2
precision pain management,4,3382,0.12%,12.38
eastern utah spine and pain,4,3374,0.12%,5.29
ohsu comprehensive pain center,4,2531,0.16%,14.77
curis pain and wellness,4,2102,0.19%,6.69
comprehensive pain specialists,4,1901,0.21%,25.33
pain and spine consultants,4,1870,0.21%,13.05
advanced spine and pain,4,1839,0.22%,11.49
atlas pain and spine,4,1783,0.22%,8.11
premier spine and pain institute,4,1712,0.23%,9.39
oceanfront pain management,4,1645,0.24%,8.66
verispine,4,1605,0.25%,5.05
dunes pain specialists,4,1575,0.25%,6.64
pain specialist,4,1430,0.28%,28.88
pain clinic silverdale,4,1429,0.28%,10.44
centurion spine and pain,4,1383,0.29%,9.01
universal pain management,4,1264,0.32%,13.31
arkansas pain specialists,4,1208,0.33%,15.38
pain management mountain home arkansas,4,1189,0.34%,8.33
southwest pain center,4,1129,0.35%,9.02
pain medicine near me,4,1031,0.39%,19.03
chronic pain doctors near me,4,1018,0.39%,22.03
clearway pain management,4,972,0.41%,6.86
pain source solutions,4,961,0.42%,6.11
pain care centers,4,946,0.42%,17.03
pain and spine clinic,4,888,0.45%,16.32
southeast spine and pain associates,4,881,0.45%,9.96
advocate pain management,4,879,0.46%,39.72
restore health and pain treatment group,4,857,0.47%,7.51
az pain doctors,4,850,0.47%,38.06
comprehensive pain and spine,4,757,0.53%,8.39
wenatchee pain clinic,4,735,0.54%,5.22
bluffs pain management,4,705,0.57%,7.85
innovative pain and wellness,4,686,0.58%,7.31
pain management laurel ms,4,665,0.60%,13.74
apex spine and pain,4,664,0.60%,6.03
dr chen mobile al,4,645,0.62%,8.08
brian nichols md,4,645,0.62%,25.62
pain clinic of spokane,4,638,0.63%,15.06
pardee pain management,4,634,0.63%,8.12
stormont vail pain management,4,631,0.63%,8.51
pain clinic waterloo iowa,4,631,0.63%,12.29
oregon pain center,4,607,0.66%,44.41
pain management russellville ar,4,598,0.67%,9.4
pain management consultants,4,580,0.69%,16.81
national spine and pain center locations,4,572,0.70%,10.92
mercy spine and pain management,4,558,0.72%,10.36
uofl pain management,4,489,0.82%,9.34
dr varma pain management,4,478,0.84%,9.38
altru pain management,4,477,0.84%,7.35
dimensions pain management,4,470,0.85%,13.32
dr nok cartersville ga,4,466,0.86%,6.09
west michigan interventional pain and spine,4,451,0.89%,5.67
montana advanced pain and spine butte,4,447,0.89%,3.94
columbus pain center,4,441,0.91%,13.22
pain care clinic,4,440,0.91%,45.47
pain management muskogee,4,434,0.92%,9.21
pain clinics of central california visalia,4,432,0.93%,7.87
presbyterian pain and spine clinic,4,429,0.93%,8.5
water's edge pain clinic yakima,4,427,0.94%,8.36
integrity pain consultants,4,426,0.94%,8.96
arizona pain scottsdale mountain view,4,423,0.95%,4.81
coastal pain care,4,422,0.95%,30.35
dr danny silver,4,419,0.95%,6.6
texas interventional pain institute,4,411,0.97%,12.89
lake street pain relief center,4,403,0.99%,5.01
miami valley pain center,4,402,1%,6.8
solace pain management,4,400,1%,8.76
dr patrick oley,4,399,1%,9.32
townsend smith,4,398,1.01%,6.28
pain clinic pittsfield ma,4,398,1.01%,6.51
pain clinic corinth ms,4,385,1.04%,9.73
dr nelson pain management,4,384,1.04%,9.04
dr ajlouni,4,374,1.07%,9.63
dr poston,4,370,1.08%,5.46
chitra ramasubbu,4,364,1.10%,7.99
swedish pain services,4,362,1.10%,7.42
keystone pain consultants,4,357,1.12%,8.65
"knee pain centers of america: knee pain treatment in michigan | knee pain 
doctors michigan southfield",4,356,1.12%,5.16
dr knox pain management,4,356,1.12%,9.69
regen doctors bethlehem pa,4,352,1.14%,8.99
dr khan sanford maine,4,346,1.16%,6.58
pain institute of central california,4,345,1.16%,10.96
premier spine & pain institute,4,336,1.19%,16.83
dr vish,4,332,1.20%,8.39
danny silver,4,330,1.21%,8.68
trinity pain clinic,4,327,1.22%,10.69
pain and spine specialists of ct,4,327,1.22%,12.61
pain management prattville al,4,326,1.23%,10.26
joel friedman maui,4,320,1.25%,5.69
grace point pain management maryville tn,4,311,1.29%,7.46
southern pain institute,4,311,1.29%,9.59
"dr. brian t. nichol, md",4,310,1.29%,7.4
athens limestone pain center,4,307,1.30%,4.73
franciscan pain management,4,305,1.31%,10.19
pain clinic lexington ky,4,299,1.34%,41.78
pain clinic columbus ohio,4,298,1.34%,32.84
integrated pain management elgin,4,297,1.35%,3.82
center for complex pain care reviews,4,290,1.38%,10.4
mercy pain management doctors,4,290,1.38%,15.87
pain clinics cookeville tn,4,278,1.44%,7.51
complex pain management,4,269,1.49%,5.37
pain relief center on dixie highway,4,268,1.49%,6.84
dr el khatib,4,263,1.52%,7.81
arizona pain | scottsdale mountain view,4,262,1.53%,5.78
dr franiak,4,261,1.53%,9.33
central valley pain management tulare,4,260,1.54%,5.55
adam wallace md,4,254,1.57%,7.42
knee pain centers of america reviews,4,252,1.59%,8.99
vitruvian health ionia,4,251,1.59%,4.16
dr tada,4,249,1.61%,9.81
national spine and pain center richmond va,4,245,1.63%,9.8
central valley pain management,4,242,1.65%,10.32
pain management associates wichita ks,4,240,1.67%,10.89
waters edge pain clinic,4,238,1.68%,7.66
regen doctors allentown,4,236,1.69%,6.04
nexus orthopedics,4,235,1.70%,6.14
allison gorski,4,234,1.71%,11.11
denver diagnostic pain,4,233,1.72%,16.91
carolina spine and pain anderson sc,4,232,1.72%,6.02
premier spine and pain clinic,4,230,1.74%,41.62
"1330 oak lane suite 202 lynchburg, va 24503",4,228,1.75%,4.22
skyline pain management,4,226,1.77%,8.67
neuragenex,4,225,1.78%,8.48
pain management cherry hill,4,225,1.78%,35.66
reid pain management richmond indiana,4,217,1.84%,5.23
optimal pain and wellness van buren arkansas,4,214,1.87%,5.8
dr malinowski,4,212,1.89%,6.29
dr wilson chang,4,212,1.89%,10.27
cox pain management springfield mo,4,207,1.93%,7.95