Query,Clicks,Impressions,CTR,Position,Cluster,PosBucket
center for symptom relief,279,1492,18.7,4.02,clinic-name,4-10
pain management near me,277,21110,1.31,20.11,near-me,21+
open arms pain clinic,268,4581,5.85,6.0,clinic-name,4-10
mid america pain clinic,229,2817,8.13,5.07,clinic-name,4-10
dr oliver james,131,2174,6.03,5.03,clinic-name,4-10
optimal pain and wellness,126,2652,4.75,5.89,clinic-name,4-10
tennessee pain professionals,126,1533,8.22,4.88,city-state,4-10
csar lexington ky,123,1195,10.29,2.12,city-state,1-3
spine and pain associates,122,4593,2.66,6.45,clinic-name,4-10
ic pain solutions,117,663,17.65,3.76,generic,4-10
optimal pain and wellness bentonville,112,920,12.17,2.66,clinic-name,1-3
kaloko pain center,108,3040,3.55,3.71,clinic-name,4-10
pca pain care center,106,777,13.64,4.16,clinic-name,4-10
pain clinic of northwest florida,103,779,13.22,3.25,city-state,4-10
spine and pain associates kingsport,93,1576,5.9,2.23,clinic-name,1-3
csar pain management,86,899,9.57,2.56,generic,1-3
pain clinics near me,85,3584,2.37,15.46,near-me,11-20
royal pain center,83,1815,4.57,4.49,clinic-name,4-10
oregon pain and spine specialists,80,1234,6.48,3.21,city-state,4-10
nevada pain and wellness center,79,448,17.63,2.83,city-state,1-3
pain clinic near me,78,9059,0.86,17.22,near-me,11-20
pain management,76,11602,0.66,34.37,generic,21+
trucare pain management,76,1094,6.95,2.46,clinic-name,1-3
comprehensive pain and headache treatment center,76,443,17.16,4.88,condition,4-10
"ic pain solutions, pc",74,374,19.79,1.75,generic,1-3
pain management doctors near me,69,5262,1.31,29.36,near-me,21+
oliver james md,63,1123,5.61,4.53,city-state,4-10
riverwoods spine and pain,61,673,9.06,3.15,generic,4-10
texas pain clinic,60,2532,2.37,14.38,city-state,11-20
dr. oliver james,58,828,7.0,4.54,clinic-name,4-10
dr oliver james lexington ky,56,841,6.66,3.45,city-state,4-10
perimeter pain and primary,55,584,9.42,2.52,generic,1-3
pain management doctors near me that prescribe narcotics,54,634,8.52,10.48,near-me,11-20
dr. jawad bhatti,52,853,6.1,7.25,clinic-name,4-10
csra pain management,49,640,7.66,4.57,generic,4-10
kentucky pain associates,49,563,8.7,5.34,city-state,4-10
oregon pain and spine,48,886,5.42,3.41,city-state,4-10
fremont pain treatment center,48,806,5.96,4.47,clinic-name,4-10
jawad bhatti md,47,9800,0.48,8.17,city-state,4-10
jawad bhatti,47,1258,3.74,8.84,generic,4-10
knee pain centers of america,46,5775,0.8,8.15,condition,4-10
superior pain management,45,2924,1.54,6.32,generic,4-10
pain doctors near me,45,2025,2.22,19.08,near-me,11-20
pain management consultants of southwest florida,44,2994,1.47,7.59,city-state,4-10
"csar, pllc, dr. oliver c. james, md",44,394,11.17,3.67,city-state,4-10
open arms pain clinic colorado springs,43,467,9.21,4.66,city-state,4-10
pca wallingford,41,355,11.55,3.11,generic,4-10
dr james oliver,40,1321,3.03,5.39,clinic-name,4-10
csar pllc lexington ky,40,247,16.19,1.87,city-state,1-3
greenville pain and spine,39,3044,1.28,7.2,generic,4-10
pain specialists of cincinnati,39,453,8.61,8.41,clinic-name,4-10
center for complex pain care,37,2523,1.47,4.1,clinic-name,4-10
pain relief center elizabethtown ky,36,439,8.2,4.28,city-state,4-10
advanced pain management of elwood,36,297,12.12,4.25,generic,4-10
pain clinic,35,9564,0.37,21.01,clinic-name,21+
aurora pain clinic,34,1552,2.19,21.36,clinic-name,21+
"center for chronic pain management johnson city, tn",34,339,10.03,4.65,condition,4-10
bellamy pain management,33,377,8.75,3.53,generic,4-10
honolulu pain management clinic,31,382,8.12,6.22,clinic-name,4-10
tlc pain management,31,270,11.48,4.63,generic,4-10
"csar, pllc",31,143,21.68,2.09,clinic-name,1-3
pain clinic dakota dunes,30,1365,2.2,5.06,clinic-name,4-10
lodi pain clinic,30,709,4.23,5.95,clinic-name,4-10
james oliver md,30,547,5.48,4.5,city-state,4-10
royal pain center augusta ga,30,313,9.58,3.27,city-state,4-10
dr tayeb,30,277,10.83,5.28,clinic-name,4-10
vitality pain center,29,1150,2.52,7.95,clinic-name,4-10
superior pain management anderson sc,29,737,3.93,4.7,city-state,4-10
csar pain management lexington ky,29,272,10.66,2.69,city-state,1-3
premier pain and wellness,28,1443,1.94,6.74,clinic-name,4-10
complete pain care,28,1083,2.59,6.78,clinic-name,4-10
brain and pain care,27,977,2.76,7.75,clinic-name,4-10
pain management bristol tn,27,759,3.56,8.53,city-state,4-10
carolina spine and pain sumter sc,27,462,5.84,4.54,city-state,4-10
pain pro specialists,27,358,7.54,5.68,clinic-name,4-10
advanced pain management,26,4440,0.59,23.73,generic,21+
spine & pain associates,26,538,4.83,5.32,clinic-name,4-10
wade lukken,26,217,11.98,4.51,generic,4-10
pain management group,25,3403,0.73,15.35,clinic-name,11-20
pain specialist near me,25,2714,0.92,20.0,near-me,11-20
balint pain management center,25,527,4.74,5.52,clinic-name,4-10
spine and pain associates bristol tn,25,439,5.69,2.36,city-state,1-3
open arms pain management,25,355,7.04,4.96,generic,4-10
interventional pain center merced,25,298,8.39,4.89,clinic-name,4-10
bluegrass bone and joint,25,291,8.59,4.22,generic,4-10
pain management doctor near me,24,5010,0.48,27.22,near-me,21+
access pain solutions,24,3601,0.67,9.98,generic,4-10
pain management cookeville tn,24,851,2.82,7.77,city-state,4-10
carolina center for advanced management of pain,24,650,3.69,8.16,clinic-name,4-10
texas pain clinic mcallen,24,595,4.03,2.14,city-state,1-3
sage interventional pain medicine,24,322,7.45,3.17,generic,4-10
active pain treatment,24,302,7.95,6.17,generic,4-10
oliver james pain management,24,297,8.08,3.93,generic,4-10
dr james oliver lexington ky,24,272,8.82,3.06,city-state,4-10
honolulu pain management,23,1201,1.92,8.45,generic,4-10
advanced pain center waterford,23,666,3.45,5.57,clinic-name,4-10
alan spanos,23,464,4.96,8.88,generic,4-10
dr rafi,22,785,2.8,8.72,clinic-name,4-10
horizon pain management,22,605,3.64,5.29,generic,4-10
renew medical clinic,22,439,5.01,11.57,clinic-name,11-20
oregon pain and spine eugene oregon,22,417,5.28,3.02,city-state,4-10
csar pllc,22,204,10.78,1.87,clinic-name,1-3
center for pain management,21,4141,0.51,27.96,clinic-name,21+
total pain treatment centers of ct,21,1697,1.24,5.08,city-state,4-10
dr jawad bhatti,21,875,2.4,8.86,clinic-name,4-10
st madron medical clinic,21,682,3.08,5.67,clinic-name,4-10
south lake pain institute,21,556,3.78,7.73,clinic-name,4-10
brandywine pain management,21,468,4.49,6.43,generic,4-10
spine and pain center bismarck,21,444,4.73,5.03,clinic-name,4-10
integrated pain care,21,417,5.04,16.32,clinic-name,11-20
omega joint and spine centers,21,407,5.16,3.28,clinic-name,4-10
riverwood spine and pain,21,345,6.09,3.26,generic,4-10
chronic pain management queensbury,21,143,14.69,2.38,condition,1-3
laurel pain clinic,20,6483,0.31,11.13,clinic-name,11-20
advanced pain management anderson indiana,20,711,2.81,6.1,city-state,4-10
spine and pain associates chattanooga,20,699,2.86,4.61,clinic-name,4-10
pain management modesto,20,517,3.87,23.57,generic,21+
advanced pain center,20,487,4.11,6.35,clinic-name,4-10
insight pain management dearborn,20,472,4.24,4.33,generic,4-10
optimal pain and wellness fayetteville ar,20,389,5.14,5.52,city-state,4-10
dr cline pain management,20,325,6.15,4.78,clinic-name,4-10
dr shah pain management,20,305,6.56,14.43,clinic-name,11-20
dr lukken,20,150,13.33,3.58,clinic-name,4-10
center for chronic pain management,20,95,21.05,6.64,condition,4-10
pain care center wallingford ct,20,86,23.26,2.85,city-state,1-3
comprehensive pain management,19,4130,0.46,35.91,generic,21+
pain doctor near me,19,2230,0.85,22.34,near-me,21+
dr barclay laurel ms,19,948,2.0,6.23,city-state,4-10
pain management columbus ohio,19,826,2.3,22.78,city-state,21+
mililani pain center,19,722,2.63,8.09,clinic-name,4-10
spine and pain center bismarck nd,19,222,8.56,6.18,city-state,4-10
"vivek barclay, md",19,185,10.27,7.69,city-state,4-10
premier pain and spine,18,3042,0.59,11.25,generic,11-20
methodist pain management,18,767,2.35,6.4,generic,4-10
true care pain management,18,425,4.24,2.53,clinic-name,1-3
dr thimineur,18,275,6.55,6.0,clinic-name,4-10
lydia ferrell,18,209,8.61,7.8,generic,4-10
waters edge yakima,17,2611,0.65,6.66,generic,4-10
pain clinics,17,1991,0.85,20.25,clinic-name,21+
pain management clinics near me,17,1333,1.28,24.67,near-me,21+
regen doctors,17,1201,1.42,10.38,generic,11-20
pain management kingsport tn,17,852,2.0,8.72,city-state,4-10
three crosses pain management,17,832,2.04,4.85,generic,4-10
dr gupta pain management,17,604,2.81,10.92,clinic-name,11-20
eastern physical medicine and wellness center,17,561,3.03,6.1,clinic-name,4-10
mid michigan pain management,17,559,3.04,8.47,city-state,4-10
piedmont pain medicine,17,436,3.9,7.1,generic,4-10
oliver james lexington ky,17,416,4.09,4.91,city-state,4-10
"traditional chinese medicine and accupuncture services, dr. wu, yi qiao",17,259,6.56,4.31,clinic-name,4-10
open arms colorado springs,17,143,11.89,4.2,city-state,4-10
dr wade lukken,17,127,13.39,3.94,clinic-name,4-10
dr stowe dartmouth ma,17,71,23.94,2.08,city-state,1-3
pain management doctors,16,3147,0.51,26.91,generic,21+
interventional pain management,16,1252,1.28,21.12,generic,21+
pain relief center,16,1188,1.35,37.61,clinic-name,21+
dr lydia ferrell,16,1026,1.56,8.41,clinic-name,4-10
carolinas center for advanced management of pain,16,733,2.18,9.16,clinic-name,4-10
pain management hopkinsville ky,16,725,2.21,7.22,city-state,4-10
damon cary,16,604,2.65,7.88,generic,4-10
dr barclay,16,596,2.68,6.37,clinic-name,4-10
dr alan spanos,16,264,6.06,9.27,clinic-name,4-10
broadway neck and spine,16,166,9.64,3.31,generic,4-10
carolina spine and sport rehabilitation specialists pa,16,163,9.82,3.37,city-state,4-10
gretchen wienecke md,16,162,9.88,5.22,city-state,4-10
advanced pain management mankato,16,137,11.68,4.77,generic,4-10
western state pain institute,15,2143,0.7,7.75,clinic-name,4-10
midsouth spine and pain associates,15,1171,1.28,7.4,clinic-name,4-10
pain management bentonville ar,15,1110,1.35,16.56,city-state,11-20
dr vish richmond indiana,15,739,2.03,4.65,city-state,4-10
finley pain clinic,15,724,2.07,7.77,clinic-name,4-10
brain and pain care shreveport la,15,662,2.27,7.0,city-state,4-10
pain management cambridge ohio,15,607,2.47,6.33,city-state,4-10
pain specialist of cincinnati,15,553,2.71,9.02,generic,4-10
lakeview spine,15,463,3.24,6.75,generic,4-10
texas pain clinic mcallen tx,15,389,3.86,2.35,city-state,1-3
balint pain management,15,307,4.89,5.62,generic,4-10
dr bhatti,15,280,5.36,8.75,clinic-name,4-10
spine and pain associates bristol,15,270,5.56,1.42,clinic-name,1-3
dr rafi russellville ar,15,263,5.7,6.03,city-state,4-10
us pain and rehabilitation center,15,245,6.12,4.37,clinic-name,4-10
pain relief centers,15,213,7.04,20.08,clinic-name,21+
tn pain professionals,15,149,10.07,3.75,city-state,4-10
integrated pain care bedford nh,15,114,13.16,4.04,city-state,4-10
dr. tayeb,15,114,13.16,4.35,clinic-name,4-10
interventional pain and wellness institute,15,114,13.16,4.37,clinic-name,4-10
mid america pain clinic overland park,15,111,13.51,3.22,clinic-name,4-10
pain management denham springs,15,89,16.85,11.27,generic,11-20
virginia pain network and clinics,15,84,17.86,3.75,city-state,4-10
dr lutz ms sports medicine,15,84,17.86,5.26,city-state,4-10
nevada pain and wellness,15,40,37.5,2.33,city-state,1-3
dominion spine and pain,14,4869,0.29,4.88,generic,4-10
summit pain management marion indiana,14,1911,0.73,4.98,city-state,4-10
pain management associates,14,1435,0.98,17.89,clinic-name,11-20
southern oklahoma pain management,14,1243,1.13,7.28,city-state,4-10
institute of interventional pain management,14,911,1.54,19.82,clinic-name,11-20
dr silver,14,786,1.78,4.93,clinic-name,4-10
summa pain care,14,601,2.33,6.8,clinic-name,4-10
texas pain specialists,14,567,2.47,10.11,city-state,11-20
dr berg pain management,14,391,3.58,6.04,clinic-name,4-10
pain management wallingford ct,14,286,4.9,6.28,city-state,4-10
dr oliver james lexington kentucky,14,255,5.49,5.82,city-state,4-10
dr bhatti office,14,245,5.71,7.81,clinic-name,4-10
sv pain management,14,229,6.11,4.65,generic,4-10
neuroscience and pain institute,14,228,6.14,6.65,clinic-name,4-10
eric dominguez md,14,204,6.86,5.27,city-state,4-10
valley spine and pain,14,199,7.04,3.91,generic,4-10
dr james pain management,14,174,8.05,4.84,clinic-name,4-10
spine and pain institute santa fe,14,168,8.33,3.61,clinic-name,4-10
suwanee pain management center,14,164,8.54,6.07,clinic-name,4-10
perimeter pain,14,163,8.59,3.23,generic,4-10
dr fisher pain clinic,14,151,9.27,4.95,clinic-name,4-10
pain institute of springfield,14,143,9.79,4.23,clinic-name,4-10
dr mark thimineur,14,136,10.29,6.47,clinic-name,4-10
ann lapolla utah,14,65,21.54,3.05,city-state,4-10
dakota dunes pain clinic,13,1940,0.67,6.29,clinic-name,4-10
st luke's pain clinic,13,1827,0.71,8.56,clinic-name,4-10
uc pain management,13,1411,0.92,7.86,generic,4-10
comprehensive pain center,13,1333,0.98,19.2,clinic-name,11-20
pivotal point rehab,13,864,1.5,7.48,clinic-name,4-10
"new jersey institute for pain relief (cranford) - dr. pucciarelli, d.c.",13,617,2.11,5.51,city-state,4-10
pain clinic beckley wv,13,434,3.0,5.64,city-state,4-10
dr kemp eugene oregon,13,358,3.63,3.6,city-state,4-10
dr kemp,13,328,3.96,5.49,clinic-name,4-10
pain management mccomb ms,13,304,4.28,5.86,city-state,4-10
premier chronic pain care,13,294,4.42,7.81,condition,4-10
adam kemp md,13,263,4.94,4.83,city-state,4-10
dr adam kemp,13,250,5.2,4.5,clinic-name,4-10
oc james,13,208,6.25,4.73,generic,4-10
trinity pain center steubenville ohio,13,163,7.98,3.06,city-state,4-10
royal pain management,13,154,8.44,3.73,generic,4-10
southeastern med pain management,13,110,11.82,3.27,generic,4-10
stellate ganglion block near me,13,90,14.44,4.67,near-me,4-10
mercy pain management,12,3573,0.34,20.77,generic,21+
premier pain and spine center,12,2486,0.48,9.1,clinic-name,4-10
chenal pain management,12,2371,0.51,6.67,generic,4-10
spine and pain center,12,1363,0.88,20.54,clinic-name,21+
swedish pain clinic,12,1283,0.94,8.16,clinic-name,4-10
carolina spine and pain,12,1159,1.04,8.41,generic,4-10
desert pain specialists rancho mirage,12,922,1.3,6.39,clinic-name,4-10
dr jeffrey berg,12,546,2.2,8.25,clinic-name,4-10
trinity pain management,12,504,2.38,11.3,generic,11-20
dr delara farmington ct,12,478,2.51,4.43,city-state,4-10
elite pain consultants,12,454,2.64,6.57,generic,4-10
"dr wilkinson pain management johnson city, tn",12,362,3.31,9.32,city-state,4-10
dr pasupuleti,12,330,3.64,6.75,clinic-name,4-10
pain management merced,12,326,3.68,7.43,generic,4-10
pain management terre haute,12,306,3.92,14.4,generic,11-20
comprehensive pain and spine clinic,12,295,4.07,9.27,clinic-name,4-10
dr lee pain management,12,276,4.35,5.95,clinic-name,4-10
pain care consultants,12,262,4.58,6.38,clinic-name,4-10
dr damon cary,12,260,4.62,5.0,clinic-name,4-10
lighthouse pain clinic,12,237,5.06,8.77,clinic-name,4-10
morton hospital pain clinic,12,229,5.24,6.5,clinic-name,4-10
"oregon pain and spine eugene, oregon",12,205,5.85,2.67,city-state,1-3
dr. oliver james photos,12,200,6.0,4.9,clinic-name,4-10
vivek barclay,12,193,6.22,6.37,generic,4-10
csar pain clinic,12,117,10.26,2.05,clinic-name,1-3
pca wallingford ct,12,88,13.64,16.98,city-state,11-20
rockford pain center,11,6430,0.17,9.38,clinic-name,4-10
pain and spine specialists,11,4878,0.23,32.67,clinic-name,21+
commonwealth pain and spine,11,4674,0.24,7.3,generic,4-10
puget sound pain clinic,11,3176,0.35,8.45,clinic-name,4-10
dunes pain clinic,11,2442,0.45,5.97,clinic-name,4-10
pain management group clarksville tn,11,2087,0.53,5.68,city-state,4-10
mays and schnapp jackson tn,11,1899,0.58,7.08,city-state,4-10
peninsula pain clinic silverdale,11,1116,0.99,8.42,clinic-name,4-10
wv pain institute,11,757,1.45,5.24,city-state,4-10
california pain management group,11,522,2.11,9.41,city-state,4-10
spine and pain associates chattanooga tn,11,457,2.41,4.2,city-state,4-10
dr silver fort smith ar,11,446,2.47,5.88,city-state,4-10
restorative pain management,11,362,3.04,7.95,generic,4-10
nj institute for pain relief cherry hill,11,296,3.72,3.62,city-state,4-10
dr stowe,11,289,3.81,27.42,clinic-name,21+
marshall pain clinic,11,281,3.91,7.46,clinic-name,4-10
dr howard quint,11,273,4.03,5.59,clinic-name,4-10
oregon pain & spine specialists,11,223,4.93,3.15,city-state,4-10
suwanee pain management center inc,11,216,5.09,6.87,clinic-name,4-10
pain clinic minot nd,11,202,5.45,6.09,city-state,4-10
springfield pain clinic,11,155,7.1,11.52,clinic-name,11-20
pain management taunton ma,11,154,7.14,7.63,city-state,4-10
mark thimineur md,11,142,7.75,8.89,city-state,4-10
dr cramer pain management,11,135,8.15,4.06,clinic-name,4-10
dr. james oliver,11,131,8.4,3.98,clinic-name,4-10
luke cramer,11,114,9.65,6.79,generic,4-10
free printable pain diary template,11,59,18.64,10.19,generic,11-20
clearway pain solutions,10,6346,0.16,8.43,generic,4-10
sweetwater pain and spine,10,5027,0.2,5.84,generic,4-10
nj institute for pain relief,10,2069,0.48,7.13,city-state,4-10
pain clinics of central california,10,2048,0.49,7.4,city-state,4-10
premier pain clinic,10,1230,0.81,9.83,clinic-name,4-10
nevada pain care gibson,10,1226,0.82,7.39,city-state,4-10
jb hunt neuroscience institute,10,1158,0.86,7.77,clinic-name,4-10
brookhaven pain management,10,962,1.04,9.44,generic,4-10
crimson pain management,10,800,1.25,5.17,generic,4-10
nj institute for pain relief cranford nj,10,745,1.34,5.47,city-state,4-10
pain gps clinic,10,616,1.62,9.38,clinic-name,4-10
pain and spine associates,10,559,1.79,9.69,clinic-name,4-10
brandon pain clinic,10,466,2.15,10.06,clinic-name,11-20
"pain management weatherly drive clarksville, tn",10,357,2.8,6.17,city-state,4-10
pain management richmond indiana,10,348,2.87,8.06,city-state,4-10
dr fan farmington mo,10,315,3.17,8.69,city-state,4-10
dr jawad bhatti richmond va,10,314,3.18,9.11,city-state,4-10
dr usmani derry nh,10,307,3.26,5.36,city-state,4-10
mid-america pain clinic,10,278,3.6,5.8,clinic-name,4-10
sunrise pain management,10,258,3.88,9.08,generic,4-10
kaloko pain clinic,10,202,4.95,3.69,clinic-name,4-10
tidelands pain management market commons,10,192,5.21,5.48,generic,4-10
pain management wallingford,10,192,5.21,6.9,generic,4-10
pain clinics near me accepting new patients,10,186,5.38,14.45,near-me,11-20
600 ferris ave waxahachie tx,10,177,5.65,4.0,city-state,4-10
alb pain management & spine care,10,168,5.95,8.76,clinic-name,4-10
comprehensive pain center of mississippi,10,164,6.1,27.03,city-state,21+
mid american pain clinic,10,155,6.45,3.03,clinic-name,4-10
mid atlantic spine and pain physicians - newark,10,134,7.46,4.25,clinic-name,4-10
dr lutz pain management,10,125,8.0,4.42,clinic-name,4-10
dr dominguez pain management,10,111,9.01,5.13,clinic-name,4-10
dr welker columbia tn,10,106,9.43,5.34,city-state,4-10
stuart rosenblum,10,103,9.71,11.41,generic,11-20
dr lutz,10,100,10.0,10.11,clinic-name,11-20
pain management norwich ct,10,97,10.31,9.72,city-state,4-10
dr peloquin manhattan ks,10,89,11.24,10.63,city-state,11-20
pain management doctors that prescribe narcotics,10,81,12.35,5.95,generic,4-10
columbia interventional pain center,10,56,17.86,4.14,clinic-name,4-10
tatyana stepanenko md,10,37,27.03,3.86,city-state,4-10
red rock neurology,9,3044,0.3,8.39,generic,4-10
grace point pain management,9,2098,0.43,9.26,generic,4-10
pain management clinic near me,9,2045,0.44,28.85,near-me,21+
advanced pain medicine,9,1558,0.58,11.11,generic,11-20
