Query,Clicks,Impressions,CTR,Position,Cluster,PosBucket
pain management norfolk va,6,74,8.11,14.47,city-state,11-20
pain management hilo,6,73,8.22,13.84,generic,11-20
pain management west chester ohio,6,70,8.57,20.21,city-state,21+
lydia ferrell md,6,68,8.82,6.9,city-state,4-10
integrated pain treatment center,6,65,9.23,7.45,clinic-name,4-10
dr carey pain management,6,62,9.68,4.76,clinic-name,4-10
total pain treatment center middletown ct,6,61,9.84,5.16,city-state,4-10
compass pain care,6,56,10.71,7.09,clinic-name,4-10
albuquerque pain management and spine care,6,53,11.32,9.6,clinic-name,4-10
spine and pain bristol,6,52,11.54,1.73,generic,1-3
presbyterian pain and spine santa fe,6,42,14.29,7.02,generic,4-10
pain center wallingford ct,6,41,14.63,3.83,city-state,4-10
physicians pain and spine,6,40,15.0,11.78,clinic-name,11-20
suwanee pain management center inc photos,6,38,15.79,3.03,clinic-name,4-10
pain clinic in cullman alabama,6,27,22.22,6.52,city-state,4-10
pain management that prescribe narcotics,6,27,22.22,8.3,generic,4-10
"pain clinics in knoxville, tn that take insurance",6,19,31.58,14.58,city-state,11-20
jason genco pa,6,15,40.0,7.73,city-state,4-10
national spine and pain,5,3629,0.14,15.07,generic,11-20
aurora pain management,5,3380,0.15,17.89,generic,11-20
consultants in pain management,5,3123,0.16,9.69,city-state,4-10
the pain management group: clarksville,5,1977,0.25,5.38,clinic-name,4-10
interventional pain consultants,5,1909,0.26,10.59,generic,11-20
pain consultants of west florida,5,1680,0.3,8.32,city-state,4-10
pain treatment centers of america,5,1649,0.3,15.33,clinic-name,11-20
puget sound pain clinic puyallup,5,1472,0.34,6.91,clinic-name,4-10
pain management clinics,5,1354,0.37,27.85,clinic-name,21+
hawaii institute for pain,5,1112,0.45,7.48,city-state,4-10
montgomery pain institute,5,1108,0.45,7.33,clinic-name,4-10
atlas pain and spine richmond ky,5,1036,0.48,7.51,city-state,4-10
advanced pain and spine,5,1021,0.49,7.92,generic,4-10
family first pain management,5,992,0.5,9.08,generic,4-10
dr glen david,5,980,0.51,7.78,clinic-name,4-10
dominion spine and pain springfield va,5,946,0.53,4.4,city-state,4-10
pain management institute bethesda,5,868,0.58,6.81,clinic-name,4-10
sanford pain clinic,5,868,0.58,10.25,clinic-name,11-20
pain treatment center bismarck,5,810,0.62,6.39,clinic-name,4-10
dominion pain and spine,5,799,0.63,5.75,generic,4-10
meridian medical,5,798,0.63,7.35,clinic-name,4-10
texas wellness and pain center,5,778,0.64,10.53,city-state,11-20
access pain solutions reviews,5,760,0.66,10.38,generic,11-20
pinnacle pain scottsdale,5,756,0.66,8.59,generic,4-10
oncall pain,5,721,0.69,9.0,generic,4-10
open arms pain clinic reviews,5,718,0.7,9.13,clinic-name,4-10
utah pain relief institute,5,666,0.75,14.45,city-state,11-20
dr brad wilson,5,662,0.76,36.32,clinic-name,21+
dr james hunt,5,658,0.76,15.99,clinic-name,11-20
arkansas spine and pain jacksonville,5,652,0.77,8.42,city-state,4-10
dr townsend smith,5,622,0.8,7.77,clinic-name,4-10
red rock pain management,5,615,0.81,7.07,generic,4-10
atrium pain management monroe nc,5,590,0.85,8.35,city-state,4-10
texas pain physicians,5,588,0.85,13.17,city-state,11-20
national pain and spine winchester va,5,584,0.86,9.33,city-state,4-10
pain management group cookeville tn,5,560,0.89,5.52,city-state,4-10
carson city pain clinic,5,548,0.91,6.67,clinic-name,4-10
dr joiner,5,542,0.92,15.52,clinic-name,11-20
pain care,5,539,0.93,14.3,clinic-name,11-20
dr kyle oh,5,525,0.95,10.71,city-state,11-20
western pain management,5,523,0.96,9.72,generic,4-10
nadar pain care,5,518,0.97,5.54,clinic-name,4-10
dr powell pain management,5,503,0.99,10.97,clinic-name,11-20
aurora pain management milwaukee,5,502,1.0,7.68,generic,4-10
spine and pain,5,492,1.02,8.74,generic,4-10
firsthealth interventional pain medicine - pinehurst,5,487,1.03,8.26,clinic-name,4-10
aurora pain management doctors,5,484,1.03,9.81,generic,4-10
virginia interventional pain & spine center,5,481,1.04,7.26,city-state,4-10
new jersey institute for pain relief,5,472,1.06,6.61,city-state,4-10
pain management beckley wv,5,457,1.09,12.03,city-state,11-20
dr lou pain management,5,450,1.11,5.73,clinic-name,4-10
chronic pain management,5,443,1.13,6.83,condition,4-10
pain management lodi,5,436,1.15,20.02,generic,21+
dr bux lexington ky,5,434,1.15,17.73,city-state,11-20
dr yee beckley wv,5,433,1.15,6.0,city-state,4-10
dr moyse,5,429,1.17,10.15,clinic-name,11-20
dr gandhi pain management,5,427,1.17,10.93,clinic-name,11-20
my pain doc,5,426,1.17,5.11,generic,4-10
dr fan hutchinson ks,5,415,1.2,6.09,city-state,4-10
midwest pain clinic sioux falls,5,412,1.21,8.48,clinic-name,4-10
pain clinic laurel ms,5,411,1.22,9.48,city-state,4-10
mercy pain management clinic,5,398,1.26,10.75,clinic-name,11-20
pain clinic bismarck nd,5,380,1.32,11.41,city-state,11-20
physicians pain services,5,363,1.38,6.03,clinic-name,4-10
national spine and pain tysons,5,361,1.39,7.92,generic,4-10
pain management brookhaven ms,5,357,1.4,8.62,city-state,4-10
pain clinic opelika al,5,356,1.4,10.44,city-state,11-20
dr joiner roanoke va,5,353,1.42,11.59,city-state,11-20
pain management consultants of southwest florida pl,5,342,1.46,6.31,city-state,4-10
dr patel edgerton wi,5,337,1.48,6.34,city-state,4-10
interventional pain management - mountain home,5,333,1.5,7.59,generic,4-10
pain center billings mt,5,319,1.57,6.57,city-state,4-10
dr oliver pain management,5,309,1.62,10.45,clinic-name,11-20
pain management queensbury ny,5,307,1.63,8.57,city-state,4-10
pain management wheeling wv,5,307,1.63,8.69,city-state,4-10
comprehensive pain management of oklahoma,5,306,1.63,8.14,city-state,4-10
dr usmani,5,301,1.66,12.14,clinic-name,11-20
interventional pain medicine at peacehealth salmon creek clinic,5,284,1.76,6.46,clinic-name,4-10
multicare pain management puyallup,5,278,1.8,9.48,clinic-name,4-10
osf pain clinic bloomington il,5,273,1.83,5.53,city-state,4-10
pain management lexington ky,5,272,1.84,42.7,city-state,21+
brian meek,5,255,1.96,7.62,generic,4-10
advanced pain medicine morgantown wv,5,251,1.99,4.67,city-state,4-10
dr delara pain management,5,250,2.0,4.63,clinic-name,4-10
pain management louisville ky,5,248,2.02,45.23,city-state,21+
pain management sumter sc,5,246,2.03,9.72,city-state,4-10
tiffini lake,5,240,2.08,5.36,generic,4-10
interventional pain consultants knoxville tn,5,239,2.09,6.48,city-state,4-10
sanford pain clinic bismarck nd,5,235,2.13,6.67,city-state,4-10
pain management indianapolis,5,235,2.13,50.66,city-state,21+
pain medicine doctors near me,5,233,2.15,37.06,near-me,21+
pain management milwaukee,5,225,2.22,32.18,generic,21+
carolina spine and pain lexington sc,5,223,2.24,6.39,city-state,4-10
"connecticut regional pain specialists, llc",5,221,2.26,6.49,city-state,4-10
lakeview spine yakima,5,217,2.3,6.74,generic,4-10
oncall pain reviews,5,214,2.34,11.6,generic,11-20
uday uthaman,5,211,2.37,5.28,generic,4-10
lakewood pain clinic,5,211,2.37,8.46,clinic-name,4-10
dr shields jonesboro ar,5,200,2.5,8.85,city-state,4-10
pmc center for pain management,5,196,2.55,3.92,clinic-name,4-10
southlake pain management,5,184,2.72,23.54,generic,21+
access pain solutions | muskogee pain management,5,183,2.73,5.66,generic,4-10
kyle silva do,5,179,2.79,7.51,generic,4-10
procare poteau oklahoma,5,176,2.84,4.45,city-state,4-10
dr joel friedman,5,175,2.86,8.59,clinic-name,4-10
pain management fort smith ar,5,175,2.86,14.89,city-state,11-20
dimensions pain management longmont,5,172,2.91,8.12,generic,4-10
flex pain management shreveport,5,171,2.92,3.88,generic,4-10
dr scott kim,5,171,2.92,25.51,clinic-name,21+
advanced pain and spine institute,5,170,2.94,7.67,clinic-name,4-10
pain alternatives,5,169,2.96,7.73,generic,4-10
dr romankowski,5,161,3.11,6.33,clinic-name,4-10
water's edge yakima,5,157,3.18,5.69,generic,4-10
pain management dothan al,5,152,3.29,16.87,city-state,11-20
908-474-9444,5,151,3.31,5.38,generic,4-10
dr avni gupta,5,150,3.33,9.48,clinic-name,4-10
ihs pain center - the square at latrobe,5,149,3.36,3.83,clinic-name,4-10
advance pain management of florida,5,149,3.36,6.8,city-state,4-10
johnson memorial pain clinic,5,148,3.38,9.3,clinic-name,4-10
pain management birmingham al,5,148,3.38,49.41,city-state,21+
pain management fort myers,5,145,3.45,21.61,generic,21+
north idaho pain center,5,138,3.62,7.03,city-state,4-10
dr cagampan,5,137,3.65,7.01,clinic-name,4-10
"adam kemp, m.d.",5,136,3.68,5.54,generic,4-10
dr james henick,5,136,3.68,6.93,clinic-name,4-10
4916 medical blvd jonesboro ar,5,135,3.7,5.26,city-state,4-10
vitality pain management,5,127,3.94,8.17,generic,4-10
pain management johnson city tn,5,127,3.94,13.67,city-state,11-20
access pain solutions muskogee oklahoma,5,126,3.97,5.71,city-state,4-10
pain clinic huntington wv,5,122,4.1,8.23,city-state,4-10
dr shih,5,120,4.17,5.53,clinic-name,4-10
honolulu pain management aiea,5,120,4.17,7.33,generic,4-10
cullman pain and wellness reviews,5,116,4.31,5.01,clinic-name,4-10
carolina center for advanced pain management,5,107,4.67,10.13,clinic-name,11-20
pain clinics clarksville tn,5,106,4.72,10.12,city-state,11-20
cambridge pain management,5,105,4.76,9.16,generic,4-10
nri pain management,5,100,5.0,5.75,generic,4-10
"pain management 360 charleston, wv",5,98,5.1,6.81,city-state,4-10
dr wu pain management,5,98,5.1,11.18,clinic-name,11-20
pca pain clinic,5,96,5.21,7.73,clinic-name,4-10
dr kenneth finn,5,95,5.26,10.57,clinic-name,11-20
dr ford colorado springs,5,94,5.32,9.31,city-state,4-10
brookhaven anesthesia and pain management,5,91,5.49,5.95,generic,4-10
pain management montgomery al,5,89,5.62,26.21,city-state,21+
nexus orthopedics santa fe,5,88,5.68,4.12,generic,4-10
forrest allen,5,88,5.68,10.33,generic,11-20
jason hernandez md,5,86,5.81,7.42,city-state,4-10
dr dominguez,5,85,5.88,5.32,clinic-name,4-10
cullman pain & wellness photos,5,84,5.95,5.94,clinic-name,4-10
pain management stockton,5,80,6.25,11.76,generic,11-20
dr paz pain management,5,79,6.33,10.86,clinic-name,11-20
pain management huntington wv,5,77,6.49,16.45,city-state,11-20
merced pain management,5,75,6.67,8.35,generic,4-10
pain relief center of cape cod,5,74,6.76,8.08,clinic-name,4-10
pain management cape cod,5,71,7.04,13.23,generic,11-20
dr edward doherty,5,68,7.35,6.76,clinic-name,4-10
sena kihtir,5,67,7.46,6.73,generic,4-10
jeremy smitherman md,5,63,7.94,10.3,city-state,11-20
center for regenerative orthopedic medicine,5,60,8.33,39.5,treatment,21+
pain mgt near me,5,58,8.62,10.21,near-me,11-20
rush pain treatment center,5,57,8.77,6.63,clinic-name,4-10
dr brown pain management,5,57,8.77,7.75,clinic-name,4-10
justin anderson md,5,56,8.93,6.38,city-state,4-10
vishwajit brahmbhatt,5,56,8.93,7.16,generic,4-10
pain clinic sioux city,5,53,9.43,14.17,clinic-name,11-20
daniel bennett md,5,51,9.8,17.37,city-state,11-20
"traditional chinese medicine and accupuncture services dr wu yi qiao new 
york reviews",5,50,10.0,3.38,clinic-name,4-10
powen hsu,5,50,10.0,9.46,generic,4-10
dr thurman,5,45,11.11,8.91,clinic-name,4-10
michael grille md,5,42,11.9,6.86,city-state,4-10
troy jenkins gillette wy,5,41,12.2,4.41,city-state,4-10
pain management panama city,5,41,12.2,8.24,generic,4-10
robert long md,5,38,13.16,8.24,city-state,4-10
dr daniel bennett,5,37,13.51,12.46,clinic-name,11-20
"best pain clinic in nashville, tn",5,34,14.71,3.62,city-state,4-10
cash only pain clinics in tennessee,5,33,15.15,30.03,city-state,21+
dr cho pain management,5,32,15.62,16.97,clinic-name,11-20
arpan patel md,5,31,16.13,18.55,city-state,11-20
john lutz md,5,30,16.67,3.97,city-state,4-10
osh pain management,5,28,17.86,4.5,generic,4-10
john nelson md,5,28,17.86,14.75,city-state,11-20
modesto pain medicine inc,5,27,18.52,3.85,generic,4-10
adrienne mejia md,5,18,27.78,7.44,city-state,4-10
pain management doctors in wv,5,15,33.33,9.33,city-state,4-10
the center for symptom relief,5,14,35.71,1.5,clinic-name,1-3
dr cho,5,11,45.45,2.82,clinic-name,1-3
dr ken homolya,5,11,45.45,5.36,clinic-name,4-10
jason genco,5,6,83.33,4.33,generic,4-10
pain tracker pdf,5,5,100.0,9.2,generic,4-10
precision pain management,4,3382,0.12,12.38,generic,11-20
eastern utah spine and pain,4,3374,0.12,5.29,city-state,4-10
ohsu comprehensive pain center,4,2531,0.16,14.77,clinic-name,11-20
curis pain and wellness,4,2102,0.19,6.69,clinic-name,4-10
comprehensive pain specialists,4,1901,0.21,25.33,clinic-name,21+
pain and spine consultants,4,1870,0.21,13.05,generic,11-20
advanced spine and pain,4,1839,0.22,11.49,generic,11-20
atlas pain and spine,4,1783,0.22,8.11,generic,4-10
premier spine and pain institute,4,1712,0.23,9.39,clinic-name,4-10
oceanfront pain management,4,1645,0.24,8.66,generic,4-10
verispine,4,1605,0.25,5.05,generic,4-10
dunes pain specialists,4,1575,0.25,6.64,clinic-name,4-10
pain specialist,4,1430,0.28,28.88,generic,21+
pain clinic silverdale,4,1429,0.28,10.44,clinic-name,11-20
centurion spine and pain,4,1383,0.29,9.01,generic,4-10
universal pain management,4,1264,0.32,13.31,generic,11-20
arkansas pain specialists,4,1208,0.33,15.38,city-state,11-20
pain management mountain home arkansas,4,1189,0.34,8.33,city-state,4-10
southwest pain center,4,1129,0.35,9.02,clinic-name,4-10
pain medicine near me,4,1031,0.39,19.03,near-me,11-20
chronic pain doctors near me,4,1018,0.39,22.03,near-me,21+
clearway pain management,4,972,0.41,6.86,generic,4-10
pain source solutions,4,961,0.42,6.11,generic,4-10
pain care centers,4,946,0.42,17.03,clinic-name,11-20
pain and spine clinic,4,888,0.45,16.32,clinic-name,11-20
southeast spine and pain associates,4,881,0.45,9.96,clinic-name,4-10
advocate pain management,4,879,0.46,39.72,generic,21+
restore health and pain treatment group,4,857,0.47,7.51,clinic-name,4-10
az pain doctors,4,850,0.47,38.06,city-state,21+
comprehensive pain and spine,4,757,0.53,8.39,generic,4-10
wenatchee pain clinic,4,735,0.54,5.22,clinic-name,4-10
bluffs pain management,4,705,0.57,7.85,generic,4-10
innovative pain and wellness,4,686,0.58,7.31,clinic-name,4-10
pain management laurel ms,4,665,0.6,13.74,city-state,11-20
apex spine and pain,4,664,0.6,6.03,generic,4-10
dr chen mobile al,4,645,0.62,8.08,city-state,4-10
brian nichols md,4,645,0.62,25.62,city-state,21+
pain clinic of spokane,4,638,0.63,15.06,clinic-name,11-20
pardee pain management,4,634,0.63,8.12,generic,4-10
stormont vail pain management,4,631,0.63,8.51,generic,4-10
pain clinic waterloo iowa,4,631,0.63,12.29,city-state,11-20
oregon pain center,4,607,0.66,44.41,city-state,21+
pain management russellville ar,4,598,0.67,9.4,city-state,4-10
pain management consultants,4,580,0.69,16.81,generic,11-20
national spine and pain center locations,4,572,0.7,10.92,clinic-name,11-20
mercy spine and pain management,4,558,0.72,10.36,generic,11-20
uofl pain management,4,489,0.82,9.34,generic,4-10
dr varma pain management,4,478,0.84,9.38,clinic-name,4-10
altru pain management,4,477,0.84,7.35,generic,4-10
dimensions pain management,4,470,0.85,13.32,generic,11-20
dr nok cartersville ga,4,466,0.86,6.09,city-state,4-10
west michigan interventional pain and spine,4,451,0.89,5.67,city-state,4-10
montana advanced pain and spine butte,4,447,0.89,3.94,city-state,4-10
columbus pain center,4,441,0.91,13.22,clinic-name,11-20
pain care clinic,4,440,0.91,45.47,clinic-name,21+
pain management muskogee,4,434,0.92,9.21,generic,4-10
pain clinics of central california visalia,4,432,0.93,7.87,city-state,4-10
presbyterian pain and spine clinic,4,429,0.93,8.5,clinic-name,4-10
water's edge pain clinic yakima,4,427,0.94,8.36,clinic-name,4-10
integrity pain consultants,4,426,0.94,8.96,generic,4-10
arizona pain scottsdale mountain view,4,423,0.95,4.81,city-state,4-10
coastal pain care,4,422,0.95,30.35,clinic-name,21+
dr danny silver,4,419,0.95,6.6,clinic-name,4-10
texas interventional pain institute,4,411,0.97,12.89,city-state,11-20
lake street pain relief center,4,403,0.99,5.01,clinic-name,4-10
miami valley pain center,4,402,1.0,6.8,clinic-name,4-10
solace pain management,4,400,1.0,8.76,generic,4-10
dr patrick oley,4,399,1.0,9.32,clinic-name,4-10
townsend smith,4,398,1.01,6.28,generic,4-10
pain clinic pittsfield ma,4,398,1.01,6.51,city-state,4-10
pain clinic corinth ms,4,385,1.04,9.73,city-state,4-10
dr nelson pain management,4,384,1.04,9.04,clinic-name,4-10
dr ajlouni,4,374,1.07,9.63,clinic-name,4-10
dr poston,4,370,1.08,5.46,clinic-name,4-10
chitra ramasubbu,4,364,1.1,7.99,generic,4-10
swedish pain services,4,362,1.1,7.42,generic,4-10
keystone pain consultants,4,357,1.12,8.65,generic,4-10
"knee pain centers of america: knee pain treatment in michigan | knee pain 
doctors michigan southfield",4,356,1.12,5.16,condition,4-10
dr knox pain management,4,356,1.12,9.69,clinic-name,4-10
regen doctors bethlehem pa,4,352,1.14,8.99,city-state,4-10
dr khan sanford maine,4,346,1.16,6.58,city-state,4-10
pain institute of central california,4,345,1.16,10.96,city-state,11-20
premier spine & pain institute,4,336,1.19,16.83,clinic-name,11-20
dr vish,4,332,1.2,8.39,clinic-name,4-10
danny silver,4,330,1.21,8.68,generic,4-10
trinity pain clinic,4,327,1.22,10.69,clinic-name,11-20
pain and spine specialists of ct,4,327,1.22,12.61,city-state,11-20
pain management prattville al,4,326,1.23,10.26,city-state,11-20
joel friedman maui,4,320,1.25,5.69,generic,4-10
grace point pain management maryville tn,4,311,1.29,7.46,city-state,4-10
southern pain institute,4,311,1.29,9.59,clinic-name,4-10
"dr. brian t. nichol, md",4,310,1.29,7.4,city-state,4-10
athens limestone pain center,4,307,1.3,4.73,clinic-name,4-10
franciscan pain management,4,305,1.31,10.19,generic,11-20
pain clinic lexington ky,4,299,1.34,41.78,city-state,21+
pain clinic columbus ohio,4,298,1.34,32.84,city-state,21+
integrated pain management elgin,4,297,1.35,3.82,generic,4-10
center for complex pain care reviews,4,290,1.38,10.4,clinic-name,11-20
mercy pain management doctors,4,290,1.38,15.87,generic,11-20
pain clinics cookeville tn,4,278,1.44,7.51,city-state,4-10
complex pain management,4,269,1.49,5.37,generic,4-10
pain relief center on dixie highway,4,268,1.49,6.84,clinic-name,4-10
dr el khatib,4,263,1.52,7.81,clinic-name,4-10
arizona pain | scottsdale mountain view,4,262,1.53,5.78,city-state,4-10
dr franiak,4,261,1.53,9.33,clinic-name,4-10
central valley pain management tulare,4,260,1.54,5.55,generic,4-10
adam wallace md,4,254,1.57,7.42,city-state,4-10
knee pain centers of america reviews,4,252,1.59,8.99,condition,4-10
vitruvian health ionia,4,251,1.59,4.16,clinic-name,4-10
dr tada,4,249,1.61,9.81,clinic-name,4-10
national spine and pain center richmond va,4,245,1.63,9.8,city-state,4-10
central valley pain management,4,242,1.65,10.32,generic,11-20
pain management associates wichita ks,4,240,1.67,10.89,city-state,11-20
waters edge pain clinic,4,238,1.68,7.66,clinic-name,4-10
regen doctors allentown,4,236,1.69,6.04,generic,4-10
nexus orthopedics,4,235,1.7,6.14,generic,4-10
allison gorski,4,234,1.71,11.11,generic,11-20
denver diagnostic pain,4,233,1.72,16.91,generic,11-20
carolina spine and pain anderson sc,4,232,1.72,6.02,city-state,4-10
premier spine and pain clinic,4,230,1.74,41.62,clinic-name,21+
"1330 oak lane suite 202 lynchburg, va 24503",4,228,1.75,4.22,city-state,4-10
skyline pain management,4,226,1.77,8.67,generic,4-10
neuragenex,4,225,1.78,8.48,generic,4-10
pain management cherry hill,4,225,1.78,35.66,generic,21+
reid pain management richmond indiana,4,217,1.84,5.23,city-state,4-10
optimal pain and wellness van buren arkansas,4,214,1.87,5.8,city-state,4-10
dr malinowski,4,212,1.89,6.29,clinic-name,4-10
dr wilson chang,4,212,1.89,10.27,clinic-name,11-20
cox pain management springfield mo,4,207,1.93,7.95,city-state,4-10
